Unnamed: 0,ID,Sentiment,Word_total,Score,Title,Date,Body,Term,Session,Meeting,Sitting,Agenda,Subcorpus,Speaker_role,Speaker_MP,Speaker_Minister,Speaker_party,Speaker_party_name,Party_status,Speaker_name,Speaker_gender,Speaker_birth,Topic_title,Question,Debate,YearMonth,Government,Bloc
87,ParlaMint-DK_20141024115619,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
88,ParlaMint-DK_20141024115621,3.7678210107842034,156.0,0.024152698787078226,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,IA,Inuit Ataqatigiit,,"Olsen, Johan Lund",M,1958,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,
89,ParlaMint-DK_20141024115740,0.0,14.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
90,ParlaMint-DK_20141024115755,83.99312338063734,2004.0,0.041912736217882905,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,notMP,Minister,RV,Radikale Venstre,Coalition,"Lidegaard, Martin",M,1966,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
91,ParlaMint-DK_20141024120940,2.301414156066551,32.0,0.07191919237707972,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
92,ParlaMint-DK_20141024120956,2.153925184932198,175.0,0.012308143913898275,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,EL,Enhedslisten,,"Sørensen, Finn",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
93,ParlaMint-DK_20141024121105,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
94,ParlaMint-DK_20141024121106,4.776994768198254,213.0,0.022427205484498842,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,notMP,Minister,RV,Radikale Venstre,Coalition,"Lidegaard, Martin",M,1966,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
95,ParlaMint-DK_20141024121220,0.0,6.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
96,ParlaMint-DK_20141024121221,1.516538914529256,106.0,0.014306970891785434,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,EL,Enhedslisten,,"Sørensen, Finn",M,1946,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
97,ParlaMint-DK_20141024121310,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
98,ParlaMint-DK_20141024121311,0.5704557363611393,33.0,0.017286537465489072,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,notMP,Minister,RV,Radikale Venstre,Coalition,"Lidegaard, Martin",M,1966,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
99,ParlaMint-DK_20141024121328,0.0,8.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
100,ParlaMint-DK_20141024121332,3.641276414883388,186.0,0.019576754918727894,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,MP,-,DF,Dansk Folkeparti,Opposition,"Dencker, Mikkel",M,1975,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Right
101,ParlaMint-DK_20141024121440,0.0,1.0,0.0,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Chairperson,MP,-,RV,Radikale Venstre,Coalition,"Loklindt, Lone",F,1960,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
102,ParlaMint-DK_20141024121442,6.9524219259881725,167.0,0.04163126901789325,"Hansard of the session of the Danish Parliament (Folketinget), 20141, M8 (2014-10-24), final version",2014-10-24,,,20141,8,,,Reference,Regular,notMP,Minister,RV,Radikale Venstre,Coalition,"Lidegaard, Martin",M,1966,Forhandling af R 2: Om det nordiske samarbejde 2013-2014.,False,False,2014-10,Thorning-Schmidt II,Left
