Unnamed: 0,ID,Sentiment,Word_total,Score,Negscore,Title,Date,Body,Term,Session,Meeting,Sitting,Agenda,Subcorpus,Speaker_role,Speaker_MP,Speaker_Minister,Speaker_party,Speaker_party_name,Party_status,Speaker_name,Speaker_gender,Speaker_birth,Topic_title,Meeting_type,Comission,YearMonth,Government,Caretaker,Bloc
55,ParlaMint-BG_2014-10-27.u6,82.48691200348392,1369.0,0.060253405407950274,63.847403059469194,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,BSPLB,Парламентарна група: БСП лява България,,"Raykov Mikov, Mihail",M,1960,,,False,2014-10,Bliznashki,True,Left
56,ParlaMint-BG_2014-10-27.u60,0.5685460200151815,12.0,0.04737883500126513,0.5685460200151815,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
57,ParlaMint-BG_2014-10-27.u61,2.663852201814492,13.0,0.204911707831884,2.663852201814492,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,ABV,Парламентарна група: Алтернатива за българско възраждане,,"Georgiev Kalfin, Ivaylo",M,1964,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Left
58,ParlaMint-BG_2014-10-27.u62,0.0,2.0,0.0,0.0,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
59,ParlaMint-BG_2014-10-27.u63,3.7869933130511226,66.0,0.05737868656138065,3.7869933130511226,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,ABV,Парламентарна група: Алтернатива за българско възраждане,,"Georgiev Kalfin, Ivaylo",M,1964,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Left
60,ParlaMint-BG_2014-10-27.u64,7.441590300688419,195.0,0.03816200154199189,6.441590300688419,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,"ИЗБОР НА ЗАМЕСТНИК-ПРЕДСЕДАТЕЛИ НА НАРОДНОТО СЪБРАНИЕ, СЪГЛАСНО ЧЛ. 76, АЛ. 3 ОТ КОНСТИТУЦИЯТА НА РЕПУБЛИКА БЪЛГАРИЯ.",ИЗБОР,False,2014-10,Bliznashki,True,Right
61,ParlaMint-BG_2014-10-27.u65,3.589114266876444,132.0,0.027190259597548817,3.589114266876444,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Любомиров Велчев, Красимир",M,1951,ПРИЕМАНЕ НА РЕШЕНИЕ ЗА ВРЕМЕННО ПРИЛАГАНЕ НА ПРАВИЛНИКА ЗА ОРГАНИЗАЦИЯТА И ДЕЙНОСТТА НА НАРОДНОТО СЪБРАНИЕ.,РЕШЕНИЕ,False,2014-10,Bliznashki,True,Right
62,ParlaMint-BG_2014-10-27.u66,4.00299488614753,99.0,0.040434291779267974,3.00299488614753,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,ПРИЕМАНЕ НА РЕШЕНИЕ ЗА ВРЕМЕННО ПРИЛАГАНЕ НА ПРАВИЛНИКА ЗА ОРГАНИЗАЦИЯТА И ДЕЙНОСТТА НА НАРОДНОТО СЪБРАНИЕ.,РЕШЕНИЕ,False,2014-10,Bliznashki,True,Right
63,ParlaMint-BG_2014-10-27.u67,3.6832187742668836,90.0,0.04092465304740982,3.6832187742668836,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Regular,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Любомиров Велчев, Красимир",M,1951,ПРОЕКТ НА РЕШЕНИЕ ЗА ИЗБИРАНЕ НА ВРЕМЕННИ СЕКРЕТАРИ НА НАРОДНОТО СЪБРАНИЕ.,ПРОЕКТ,False,2014-10,Bliznashki,True,Right
64,ParlaMint-BG_2014-10-27.u68,4.381987065941205,115.0,0.03810423535601048,3.381987065941205,"Report of the meeting of the Bulgarian National Assembly, Term 43, Session 1, Meeting 1 (2014-10-27)",2014-10-27,,43,1,1,2014-10-27,,Reference,Chairperson,MP,-,GERB,Парламентарна група: Партия ГЕРБ,,"Tsacheva Dangovska, Tsetska",F,1958,ПРОЕКТ НА РЕШЕНИЕ ЗА ИЗБИРАНЕ НА ВРЕМЕННИ СЕКРЕТАРИ НА НАРОДНОТО СЪБРАНИЕ.,ПРОЕКТ,False,2014-10,Bliznashki,True,Right
